url;home
bild.de/video/clip/rettungsgasse/autofahrer-wenden-in-der-rettungsgasse-61929698.bild.html;False
birminghammail.co.uk/news/uk-news/three-uk-supermarkets-slashing-price-15205546;False
blogs.mediapart.fr/evangelinemd/blog/040518/sicile-trois-ans-apres-la-crise-migratoire-ce-qu-il-reste-des-migrants;False
bloomberg.com/news/articles/2018-10-03/white-house-economist-turns-to-alternative-data-to-boost-trump;False
bloomberg.com/profiles/companies/927976Z:FP-loxam-sas;False
boerse.ard.de;True
boerse.ard.de/index.html;True
boerse.ard.de/marktberichte/eine-buerde-fuer-den-dax100.html;False
br.de/mediathek/rubriken/kochen-backen;True
br.de/mediathek/sendungen_a-z/b;True
breitbart.com/london/2018/09/18/merkel-fire-domestic-intelligence-chief-questioned-chemnitz-migrant-hunt;False
brigitte.de/gewinnspiele/bauknecht-waschmaschine-gewinnen-11577084.html?iframe_target=https%3A%2F%2Faktion.guj-direct.de%2Fbrigitte-gws-Bauknecht-4;False
brigitte.de/rezepte/erdbeer-zitronen-torte-10535676.html;False
businessinsider.de/12-europawahl-kandidaten-erklaeren-wie-sie-die-draengendsten-probleme-der-eu-loesen-wollen-2019-5#/#fdp-europawahlkandidat-hagen-schulz-thomale-76-9;False
businessinsider.de/7-woerter-die-menschen-mit-stil-verwenden-2017-4?obref=BusinessInsider&obref=BusinessInsider;False
businessinsider.de/amazon-system-schreibt-automatisch-kuendigungen-fuer-mitarbeiter-2019-4;False
businessinsider.de/bmw-m850-fuer-108000-getestet-um-zu-sehen-ob-das-cabrio-stil-und-kraft-verbindet-2019-5#/#auf-kofferraum-muss-man-in-der-regel-bei-cabriolets-verzichten-10;False
businessinsider.de/bmw-m850-fuer-108000-getestet-um-zu-sehen-ob-das-cabrio-stil-und-kraft-verbindet-2019-5#/#die-proportionen-des-m850-sind-gut-aber-nicht-grossartig-ich-wuerde-eine-groessere-haube-bevorzugen-7;False
businessinsider.de/diese-produkte-wuerden-mcdonalds-mitarbeiter-niemals-bestellen-2018-11#/#die-etwas-grueneren-optionen-im-produktangebot-2;False
businessinsider.de/kategorien/features;True
businessinsider.de/militaer-hat-eine-unheimliche-waffe-und-sie-ist-nicht-aufzuhalten-2017-9#/#die-drohne-koennte-als-waffe-eingesetzt-werden-mit-verheerenden-folgen-11;False
businessinsider.de/militaer-hat-eine-unheimliche-waffe-und-sie-ist-nicht-aufzuhalten-2017-9#/#mikrodrohne-perdix-wird-zur-geheimwaffe-des-militaers-6;False
businessinsider.de/was-seht-ihr-auf-diesem-bild-diese-optische-taeuschung-verraet-viel-ueber-euer-gehirn-2018-3?obref=BusinessInsider;False
c.estrepublicain.fr/a-propos/nous-suivre;True
c.estrepublicain.fr/devenir-correspondant-local-de-presse;True
c.estrepublicain.fr/edition-belfort-hericourt-montbeliard/2019/05/17/odile-talon-exprime-avec-des-mots-la-souffrance-du-monde-paysan;False
c.leprogres.fr/liseuse/editions-numeriques#69X#03/31/2019;False
c.leprogres.fr/liseuse/editions-numeriques#69X#04/12/2019;False
carnetdujour.lefigaro.fr/deces;True
challenges.fr/economie;True
challenges.fr/politique;True
citations.ouest-france.fr/theme/rencontre;True
club.parismatch.com;True
clube1.europe1.fr;True
cnews.fr/divertissement/2019-05-21/game-thrones-saison-8-les-8-raisons-de-la-colere-spoilers-842453;False
cnn.com;True
computerbild.de/artikel/avf-News-Fernseher-Sky-Angebote-22370381.html;False
computerbild.de/artikel/cb-News-Handy-Apple-iPhone-2019-iPhone-11-21780447.html;False
computerbild.de/artikel/cb-Tipps-Software-Photoshop-Alternative-22779553.html;False
computerbild.de/artikel/cb-Tipps-Software-Windows-10-Freeware-10536828.html;False
computerbild.de/download/Windows-ISO-Downloader-15794771.html;False
computerbild.de/download/specials;True
computerbild.de/download?order=1;True
computerbild.de/fotos/avf-Aktuell-Foto-Video-Kamera-Die-wichtigsten-Neuheiten-2018-9133858.html#30;False
